stop_id,no_shade,freeway_ramps,poor_signage,sidewalk_poor,no_crosswalks,timestamp,ip
369,False,True,False,True,False,2015-07-23 02:31:31,127.0.0.1
63,False,False,False,True,False,2015-07-23 02:33:58,127.0.0.1
555,False,True,False,False,False,2015-07-23 02:33:58,127.0.0.1
368,False,False,True,False,False,2015-07-23 10:27:23,127.0.0.1
309,True,True,False,False,False,2015-07-23 15:55:55,127.0.0.1
625,True,False,True,False,False,2015-07-23 16:05:15,127.0.0.1
625,True,False,True,False,True,2015-07-23 16:05:15,127.0.0.1
626,False,False,False,False,True,2015-07-23 16:05:15,127.0.0.1
445,False,False,False,False,False,2015-07-23 16:05:15,127.0.0.1
222,False,False,True,False,False,2015-07-23 16:05:15,127.0.0.1
555,False,False,True,False,False,2015-07-23 16:05:15,127.0.0.1
623,False,False,True,False,False,2015-07-23 16:05:15,127.0.0.1
